lat,lng
38.384,-0.4079999999999999
38.384,-0.4039999999999999
38.384,-0.3999999999999999
38.384,-0.3959999999999999
38.384,-0.3919999999999999
38.387,-0.52
38.387,-0.516
38.387,-0.512
38.387,-0.508
38.387,-0.504
38.387,-0.5
38.387,-0.496
38.387,-0.492
38.387,-0.488
38.387,-0.484
38.387,-0.48
38.387,-0.476
38.387,-0.472
38.387,-0.46799999999999997
38.387,-0.46399999999999997
38.387,-0.45999999999999996
38.387,-0.45599999999999996
38.387,-0.45199999999999996
38.387,-0.44799999999999995
38.387,-0.44399999999999995
38.387,-0.43999999999999995
38.387,-0.43599999999999994
38.387,-0.43199999999999994
38.387,-0.42799999999999994
38.387,-0.42399999999999993
38.387,-0.41999999999999993
38.387,-0.4159999999999999
38.387,-0.4119999999999999
38.387,-0.4079999999999999
38.387,-0.4039999999999999
38.387,-0.3999999999999999
38.387,-0.3959999999999999
38.387,-0.3919999999999999
38.39,-0.52
38.39,-0.516
38.39,-0.512
38.39,-0.508
38.39,-0.504
38.39,-0.5
38.39,-0.496
38.39,-0.492
38.39,-0.488
38.39,-0.484
38.39,-0.48
38.39,-0.476
38.39,-0.472
38.39,-0.46799999999999997
38.39,-0.46399999999999997
38.39,-0.45999999999999996
38.39,-0.45599999999999996
38.39,-0.45199999999999996
38.39,-0.44799999999999995
38.39,-0.44399999999999995
38.39,-0.43999999999999995
38.39,-0.43599999999999994
38.39,-0.43199999999999994
38.39,-0.42799999999999994
38.39,-0.42399999999999993
38.39,-0.41999999999999993
38.39,-0.4159999999999999
38.39,-0.4119999999999999
38.39,-0.4079999999999999
38.39,-0.4039999999999999
38.39,-0.3999999999999999
38.39,-0.3959999999999999
38.39,-0.3919999999999999
38.393,-0.52
38.393,-0.516
38.393,-0.512
38.393,-0.508
38.393,-0.504
38.393,-0.5
38.393,-0.496
38.393,-0.492
38.393,-0.488
38.393,-0.484
38.393,-0.48
38.393,-0.476
38.393,-0.472
38.393,-0.46799999999999997
38.393,-0.46399999999999997
38.393,-0.45999999999999996
38.393,-0.45599999999999996
38.393,-0.45199999999999996
38.393,-0.44799999999999995
38.393,-0.44399999999999995
38.393,-0.43999999999999995
38.393,-0.43599999999999994
38.393,-0.43199999999999994
38.393,-0.42799999999999994
38.393,-0.42399999999999993
38.393,-0.41999999999999993
38.393,-0.4159999999999999
38.393,-0.4119999999999999
38.393,-0.4079999999999999
38.393,-0.4039999999999999
38.393,-0.3999999999999999
38.393,-0.3959999999999999
38.393,-0.3919999999999999
38.396,-0.52
38.396,-0.516
38.396,-0.512
38.396,-0.508
38.396,-0.504
38.396,-0.5
38.396,-0.496
38.396,-0.492
38.396,-0.488
38.396,-0.484
38.396,-0.48
38.396,-0.476
38.396,-0.472
38.396,-0.46799999999999997
38.396,-0.46399999999999997
38.396,-0.45999999999999996
38.396,-0.45599999999999996
38.396,-0.45199999999999996
38.396,-0.44799999999999995
38.396,-0.44399999999999995
