place_id,name,lat,lng,vicinity
ChIJi1dvLOMwYg0RViufTfXgsAE,Bar Simón,38.4137686,-0.4430458999999999,"Carrer Mare de Déu del Pilar, 87, Mutxamel"
ChIJq6rqrrA2Yg0RE--64vEfOug,Restaurante Terra Lucía,38.3896834,-0.5116433,"Calle del Bronce, 10, San Vicente del Raspeig"
ChIJNwZdegA7Yg0RmEas2AiqxIE,4 sabores,38.4255982,-0.3901420999999999,"Carrer de Sant Vicent, 78-79, El Campello"
ChIJR-Lwjpc3Yg0RbyUADsHBV9E,Restaurante asiático king,38.36292,-0.4906843999999999,"Calle Alfonso Guixot Guixot 3, Gran Vía, 553, local 4, Alicante (Alacant)"
ChIJjbCFsKc5Yg0RhtqZ28-ZZ8M,Restaurante Los Pacos,38.3705522,-0.4138397,"Avenida Bruselas, 9, Alicante (Alacant)"
ChIJDYoyj_s5Yg0RnWE4BKykhQA,Restaurante Aitana,38.3780975,-0.4101262000000001,"Avenida de Niza, 30B, Alicante (Alacant)"
ChIJg-FglrM3Yg0R6Mh4TAxfQpQ,El Garaje Bar Alicante,38.3437725,-0.4853964000000001,"Plaza Gabriel Miró, 14, Alicante (Alacant)"
ChIJ55fHRQA5Yg0RZd8GZ-Mn0y0,Asador COKS Rôtisserie,38.39973059999999,-0.4330857999999999,"Carrer del Mercat, 27, Sant Joan d'Alacant"
ChIJ6xNoA3E3Yg0Ri2vn7ucS02k,Snack Noucha Alicante,38.3747739,-0.4800183999999998,"Calle del Periodista Francisco Bas Mingot, 71, Alicante (Alacant)"
ChIJf3BGOA03Yg0RYVYzRfwHhQM,Bombon Boss,38.3674072,-0.4696296999999999,"Calle José García Sellés, 2, Alicante (Alacant)"
ChIJ__sM0sE5Yg0RCXSMrwncirw,La Masa Alicante,38.3968854,-0.4328237,"Carrer Doctor Ivorra, 11, Sant Joan d'Alacant"
ChIJmYp-U3g5Yg0RYJ-KeDgousQ,Cerveceria Juanito playa,38.3919524,-0.410234,"Carrer de Juan de la Cierva, 21, El Campello"
ChIJH8EO2oY5Yg0RgzNnYqTiUzE,La Vie est Belle,38.3880103,-0.4113814999999999,"Carrer de Juan de la Cierva, 46, El Campello"
ChIJcVRRvCY3Yg0R2d7cMQsPPK8,Pizzeria kebab palamo,38.3872495,-0.4902682,"Carrer de Porticons, 33, Alicante (Alacant)"
ChIJWX6nfAA7Yg0RJ1XiSvUtJT4,Casa Julio,38.4017156,-0.4357682,Sant Joan d'Alacant
ChIJ3fVf9aM3Yg0RIh-OTojp7Yk,CivitaVecchia Pizzería,38.3512717,-0.473893,"Calle de la Virgen del Socorro, 81, Alicante (Alacant)"
ChIJP5OjHbs7Yg0RfD0IE8CjUEo,Supermercados Dia,38.3876566,-0.4109707,"Carrer de Juan de la Cierva, 43, El Campello"
ChIJO9xeGEA3Yg0RPHFkS_kPd5I,Restaurante de Carne - Cabaña Bar,38.3446313,-0.4866801,"Carrer Navas, 18, Alacant"
ChIJN59PDQA5Yg0RVeYHX2c-iCw,Xata,38.38358760000001,-0.4145066000000001,"Avenida Artista Remigio Soler López, 9, Alicante (Alacant)"
ChIJ295DXLM3Yg0RL9HYmUSSmXk,Restaurante Musunlu,38.3424114,-0.4868906,"Calle San Fernando, 52, Alicante (Alacant)"
ChIJVSJhrbE3Yg0RZvW6uwcKWso,Pintxo Kalea,38.3666058,-0.4304959,"Avenida de Ansaldo 6. c.c. Torregolf https://maps.app.goo.gl/PNuXPG6hnup1Q4AS8?g_st=am, Alicante (Alacant)"
ChIJma9Xcvk2Yg0R0AHN7jtnIfs,La Poderosa,38.3618367,-0.4945574999999999,"Calle Gran Via, 4, Alicante (Alacant)"
ChIJsYznA7M5Yg0RpTAvJR9e4tw,La Palloza,38.3601968,-0.4247178,"Carrer Trident, 19, Alacant"
ChIJWViUb002Yg0RR237dX-HGes,Restaurant Japonés - DAIKICHI,38.3465958,-0.4898553,"Calle Segura, 1, Alicante (Alacant)"
ChIJ9SPH4ag3Yg0Rzk0CDHJSTgU,El Barecito de Carolinas,38.3575479,-0.47905,"Mercado de Carolinas, Calle San Mateo, 23, Puesto 7 y 8, Alicante (Alacant)"
ChIJU0ClcHc5Yg0RYuwDp_24NDE,Restaurante Sevilla,38.3889157,-0.4101065999999999,"Avinguda d'Alacant, 6, El Campello"
ChIJL_7dNwA3Yg0R2aVG5oKL-WM,Imperial churreria,38.34670299999999,-0.4883781999999999,"Avenida Alfonso El Sabio, 33, Alicante (Alacant)"
ChIJFdwqHgA3Yg0REjksbvmpDuA,Plëgat Restaurante,38.34820379999999,-0.4870743000000001,"Calle José Gutiérrez Petén, 8, Alicante (Alacant)"
ChIJZSItvDU5Yg0R0TtfJi2xMUE,Ajonegro Gastrobar Arrocería,38.367628,-0.4232632999999999,"Avenida Historiador Vicente Ramos, 28, Local 28, Alicante (Alacant)"
ChIJy3_zJPg2Yg0RqnJUY7zpx74,La Xiqueta II,38.35962689999999,-0.4954295,"Calle Teulada, n°22, n° 22, Alicante (Alacant)"
ChIJE6Hva6k3Yg0RM6zWurFlUKQ,Restaurante Kin Du,38.3944481,-0.5155470999999999,"C. la Huerta, Calle Villafranqueza, 156, esq, San Vicente del Raspeig"
ChIJyd9CjvQ3Yg0RRHUgMYc0nu8,"Restaurante Ciao Bella | Pizzería, Pastas y Comida Italiana",38.344465,-0.4809587999999999,"Passeig Esplanada d'Espanya, 2, Alacant"
ChIJl8ELOAA5Yg0RS8OLLvjDRxQ,Old Tiflisi Restaurante Georgiano,38.3689036,-0.4143855,"Dentro de centro cmercial fontana, Avenida Santander, 17, Alicante (Alacant)"
ChIJnydkdbw3Yg0RStOsi8aJEzI,L'Espiral Café & Tapas,38.3927528,-0.5158607,"Avenida de Sevilla, 4, San Vicente del Raspeig"
ChIJb29_R8I7Yg0R4wAqxTg_T-Y,la Casa De Matias,38.4149424,-0.3941128999999999,"Avenida Jaime I el Conquistador, 7, El Campello"
ChIJQ1B1Em43Yg0RoPYdXPSQ_0w,McDonald's,38.369537,-0.463993,"Avenida de Antonio Ramos Carratalá, 26, Alicante (Alacant)"
ChIJLR-W4gc3Yg0RzVTlfqUXk10,Bab Albaraka restaurant,38.3592918,-0.4780439,"Calle San Pablo, 40, Alicante (Alacant)"
ChIJxTrufvA2Yg0R3GsME94EbHw,colin hamburgueseria,38.3657735,-0.4976718000000001,"Avinguda Jaume I, 03009, Alacant"
ChIJ6QjjKjI3Yg0R438-HcqCLUw,"El Antojao, Alicante",38.3584985,-0.4742825999999999,"Avenida del Padre Esplá, Alicante (Alacant)"
ChIJLeAHQ8A3Yg0RFRyhJYcfkm4,BENS KEBAB,38.3410841,-0.5022085,"Calle Santa Maria Mazzarelo, 7, Alicante (Alacant)"
ChIJy6f6_rA2Yg0RCz5SISVhEbs,Mucho Mas Que Pizza,38.39152619999999,-0.5142207999999999,"Carrer Perú, 5, Sant Vicent del Raspeig"
ChIJBwCI-ac3Yg0RBHkspxcjcWo,Pizzeria Ginevra,38.35741780000001,-0.47807,"Calle Doctor Nieto, 45, Alicante (Alacant)"
